tax_id 	Org_name       	GeneID    	CurrentID 	Status 	Symbol       	Aliases                           	description                                                                                          	other_designations                                                                                                      	map_location 	chromosome 	genomic_nucleotide_accession.version 	start_position_on_the_genomic_accession 	end_position_on_the_genomic_accession 	orientation 	exon_count 	OMIM 	
  9600 	Pongo pygmaeus 	129030495 	        0 	live   	LOC129030495 	                                  	E3 SUMO-protein ligase RanBP2-like                                                                   	E3 SUMO-protein ligase RanBP2-like|ranBP2-like and GRIP domain-containing protein 3                                     	             	        12 	NC_072385.2                          	                               26325289 	                             26367297 	minus       	        23 	     	
  9600 	Pongo pygmaeus 	129030494 	        0 	live   	LOC129030494 	                                  	E3 SUMO-protein ligase RanBP2-like                                                                   	E3 SUMO-protein ligase RanBP2-like|ranBP2-like and GRIP domain-containing protein 3                                     	             	        12 	NC_072385.2                          	                               26607671 	                             26647156 	minus       	        21 	     	
  9600 	Pongo pygmaeus 	129030478 	        0 	live   	LOC129030478 	                                  	small nuclear ribonucleoprotein G-like                                                               	small nuclear ribonucleoprotein G-like                                                                                  	             	        12 	NC_072385.2                          	                               40872213 	                             40872566 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129030473 	        0 	live   	LOC129030473 	                                  	small ribosomal subunit protein uS10-like                                                            	small ribosomal subunit protein uS10-like                                                                               	             	        12 	NC_072385.2                          	                               43773815 	                             43774646 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030464 	        0 	live   	LOC129030464 	                                  	small ribosomal subunit protein uS9-like                                                             	small ribosomal subunit protein uS9-like                                                                                	             	        12 	NC_072385.2                          	                              113789403 	                            113790596 	plus        	         3 	     	
  9600 	Pongo pygmaeus 	129030405 	        0 	live   	LOC129030405 	                                  	hsc70-interacting protein-like                                                                       	hsc70-interacting protein-like                                                                                          	             	        12 	NC_072385.2                          	                              122019178 	                            122020167 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030377 	        0 	live   	LOC129030377 	                                  	glycosylphosphatidylinositol anchor attachment 1 protein-like                                        	glycosylphosphatidylinositol anchor attachment 1 protein-like                                                           	             	        12 	NC_072385.2                          	                               41397289 	                             41426380 	plus        	         2 	     	
  9600 	Pongo pygmaeus 	129030322 	        0 	live   	LOC129030322 	                                  	small ribosomal subunit protein eS27                                                                 	small ribosomal subunit protein eS27|40S ribosomal protein S27                                                          	             	        12 	NC_072385.2                          	                               65016034 	                             65016453 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030278 	        0 	live   	LOC129030278 	                                  	small ribosomal subunit protein uS2-like                                                             	small ribosomal subunit protein uS2-like                                                                                	             	        12 	NC_072385.2                          	                               71433528 	                             71437431 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030233 	        0 	live   	LOC129030233 	                                  	cytochrome P450 1B1                                                                                  	cytochrome P450 1B1                                                                                                     	             	        12 	NC_072385.2                          	                               95761452 	                             95769238 	plus        	         2 	     	
  9600 	Pongo pygmaeus 	129030181 	        0 	live   	LOC129030181 	                                  	cytochrome c oxidase subunit 7A-related protein, mitochondrial                                       	cytochrome c oxidase subunit 7A-related protein, mitochondrial|uncharacterized protein LOC129030181                     	             	        12 	NC_072385.2                          	                               91361394 	                             91372748 	plus        	         3 	     	
  9600 	Pongo pygmaeus 	129030073 	        0 	live   	LOC129030073 	                                  	small ribosomal subunit protein eS12                                                                 	small ribosomal subunit protein eS12|40S ribosomal protein S12                                                          	             	        12 	NC_072385.2                          	                               81299517 	                             81300055 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129030036 	        0 	live   	LOC129030036 	                                  	CDGSH iron-sulfur domain-containing protein 1-like                                                   	CDGSH iron-sulfur domain-containing protein 1-like                                                                      	             	        12 	NC_072385.2                          	                              114116772 	                            114117107 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030018 	        0 	live   	LOC129030018 	                                  	activator of 90 kDa heat shock protein ATPase homolog 2-like                                         	LOW QUALITY PROTEIN: activator of 90 kDa heat shock protein ATPase homolog 2-like                                       	             	        12 	NC_072385.2                          	                               72393266 	                             72403952 	minus       	        10 	     	
  9600 	Pongo pygmaeus 	129029995 	        0 	live   	LOC129029995 	                                  	uncharacterized LOC129029995                                                                         	uncharacterized protein LOC129029995                                                                                    	             	        12 	NC_072385.2                          	                               45494962 	                             45510525 	plus        	         4 	     	
  9600 	Pongo pygmaeus 	129029973 	        0 	live   	LOC129029973 	                                  	sulfotransferase 1C3-like                                                                            	sulfotransferase 1C3-like                                                                                               	             	        12 	NC_072385.2                          	                               39505141 	                             39546195 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129029734 	        0 	live   	LOC129029734 	                                  	small ribosomal subunit protein eS17-like                                                            	small ribosomal subunit protein eS17-like                                                                               	             	        12 	NC_072385.2                          	                              125012941 	                            125013385 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129029725 	        0 	live   	LOC129029725 	                                  	eukaryotic translation initiation factor 1b-like                                                     	eukaryotic translation initiation factor 1b-like                                                                        	             	        12 	NC_072385.2                          	                              124775421 	                            124775720 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129028707 	        0 	live   	LOC129028707 	                                  	E3 SUMO-protein ligase RanBP2-like                                                                   	E3 SUMO-protein ligase RanBP2-like|ranBP2-like and GRIP domain-containing protein 3                                     	             	        12 	NC_072385.2                          	                               31818967 	                             31864794 	minus       	        23 	     	
  9600 	Pongo pygmaeus 	129028499 	        0 	live   	LOC129028499 	                                  	tetratricopeptide repeat protein 39B-like                                                            	tetratricopeptide repeat protein 39B-like                                                                               	             	        12 	NC_072385.2                          	                               95058405 	                             95071603 	minus       	         5 	     	
  9600 	Pongo pygmaeus 	129028448 	        0 	live   	LOC129028448 	                                  	E3 SUMO-protein ligase RanBP2-like                                                                   	E3 SUMO-protein ligase RanBP2-like|ranBP2-like and GRIP domain-containing protein 3|E3 SUMO-protein ligase RanBP2       	             	        12 	NC_072385.2                          	                               38801434 	                             38922996 	minus       	        33 	     	
  9600 	Pongo pygmaeus 	129026595 	        0 	live   	LOC129026595 	                                  	midkine-like                                                                                         	midkine-like                                                                                                            	             	        12 	NC_072385.2                          	                               45310995 	                             45311583 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129026320 	        0 	live   	LOC129026320 	                                  	cytochrome P450 26B1                                                                                 	cytochrome P450 26B1                                                                                                    	             	        12 	NC_072385.2                          	                               61416876 	                             61436580 	plus        	         8 	     	
  9600 	Pongo pygmaeus 	129018740 	        0 	live   	LOC129018740 	                                  	telomeric repeat-binding factor 1-like                                                               	telomeric repeat-binding factor 1-like                                                                                  	             	        12 	NC_072385.2                          	                               23076708 	                             23077607 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030783 	        0 	live   	LOC129030783 	                                  	fumarylacetoacetate hydrolase domain-containing protein 2B                                           	fumarylacetoacetate hydrolase domain-containing protein 2A|fumarylacetoacetate hydrolase domain-containing protein 2B   	             	        12 	NC_072385.2                          	                               25687409 	                             25707416 	plus        	        11 	     	
  9600 	Pongo pygmaeus 	129030780 	        0 	live   	LOC129030780 	                                  	ankyrin repeat domain-containing protein 36C-like                                                    	ankyrin repeat domain-containing protein 36C-like                                                                       	             	        12 	NC_072385.2                          	                               25501361 	                             25676807 	minus       	       106 	     	
  9600 	Pongo pygmaeus 	129030778 	        0 	live   	LOC129030778 	                                  	fumarylacetoacetate hydrolase domain-containing protein 2B-like                                      	fumarylacetoacetate hydrolase domain-containing protein 2B-like                                                         	             	        12 	NC_072385.2                          	                               25164966 	                             25176474 	minus       	         9 	     	
  9600 	Pongo pygmaeus 	129030776 	        0 	live   	LOC129030776 	                                  	fumarylacetoacetate hydrolase domain-containing protein 2                                            	fumarylacetoacetate hydrolase domain-containing protein 2                                                               	             	        12 	NC_072385.2                          	                               25095482 	                             25108622 	minus       	         9 	     	
  9600 	Pongo pygmaeus 	129030523 	        0 	live   	LOC129030523 	                                  	tyrosine-protein kinase ZAP-70                                                                       	tyrosine-protein kinase ZAP-70                                                                                          	             	        12 	NC_072385.2                          	                               27315565 	                             27342626 	plus        	        14 	     	
  9600 	Pongo pygmaeus 	129030475 	        0 	live   	LOC129030475 	FAHD2A                            	fumarylacetoacetate hydrolase domain-containing protein 2A                                           	fumarylacetoacetate hydrolase domain-containing protein 2A|fumarylacetoacetate hydrolase domain containing 2A           	             	        12 	NC_072385.2                          	                               24164455 	                             24174940 	plus        	         8 	     	
  9600 	Pongo pygmaeus 	129030383 	        0 	live   	LOC129030383 	                                  	ankyrin repeat domain-containing protein 36B-like                                                    	ankyrin repeat domain-containing protein 36B-like                                                                       	             	        12 	NC_072385.2                          	                               41747591 	                             41780119 	plus        	         6 	     	
  9600 	Pongo pygmaeus 	129030340 	        0 	live   	LOC129030340 	                                  	POTE ankyrin domain family member B-like                                                             	LOW QUALITY PROTEIN: POTE ankyrin domain family member B-like                                                           	             	        12 	NC_072385.2                          	                               23183119 	                             23226870 	plus        	        12 	     	
  9600 	Pongo pygmaeus 	129030327 	        0 	live   	LOC129030327 	                                  	small ribosomal subunit protein eS32-like                                                            	small ribosomal subunit protein eS32-like                                                                               	             	        12 	NC_072385.2                          	                              132077860 	                            132078286 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030323 	        0 	live   	LOC129030323 	                                  	NANOG neighbor homeobox-like                                                                         	NANOG neighbor homeobox-like                                                                                            	             	        12 	NC_072385.2                          	                               31004009 	                             31007520 	plus        	         2 	     	
  9600 	Pongo pygmaeus 	129028924 	        0 	live   	LOC129028924 	                                  	mitogen-activated protein kinase kinase kinase kinase 4-like                                         	mitogen-activated protein kinase kinase kinase kinase 4-like                                                            	             	        12 	NC_072385.2                          	                               31859095 	                             32038084 	minus       	         9 	     	
  9600 	Pongo pygmaeus 	129027542 	        0 	live   	LOC129027542 	                                  	putative prolyl-tRNA synthetase associated domain-containing protein 1                               	putative prolyl-tRNA synthetase associated domain-containing protein 1                                                  	             	        12 	NC_072385.2                          	                               78273245 	                             78275471 	minus       	         2 	     	
  9600 	Pongo pygmaeus 	129026049 	        0 	live   	LOC129026049 	                                  	zinc finger protein 806-like                                                                         	zinc finger protein 221-like|zinc finger protein 227-like|zinc finger protein 806-like                                  	             	        12 	NC_072385.2                          	                                1069869 	                              1106129 	plus        	        14 	     	
  9600 	Pongo pygmaeus 	129024850 	        0 	live   	LOC129024850 	                                  	ankyrin repeat domain-containing protein 36B-like                                                    	ankyrin repeat domain-containing protein 36B-like                                                                       	             	        12 	NC_072385.2                          	                               44551350 	                             44556234 	plus        	         3 	     	
  9600 	Pongo pygmaeus 	129024840 	        0 	live   	LOC129024840 	                                  	ankyrin repeat domain-containing protein 36A-like                                                    	ankyrin repeat domain-containing protein 36A-like                                                                       	             	        12 	NC_072385.2                          	                               44559148 	                             44630198 	plus        	        35 	     	
  9600 	Pongo pygmaeus 	134737842 	        0 	live   	LOC134737842 	                                  	GRIP and coiled-coil domain-containing protein 2-like                                                	GRIP and coiled-coil domain-containing protein 2-like                                                                   	             	        12 	NC_072385.2                          	                               28825171 	                             28851150 	minus       	        12 	     	
  9600 	Pongo pygmaeus 	134737835 	        0 	live   	LOC134737835 	                                  	GRIP and coiled-coil domain-containing protein 2-like                                                	GRIP and coiled-coil domain-containing protein 2-like                                                                   	             	        12 	NC_072385.2                          	                               24422296 	                             24509126 	plus        	        18 	     	
  9600 	Pongo pygmaeus 	129030885 	        0 	live   	LOC129030885 	TXNDC9                            	thioredoxin domain-containing protein 9                                                              	thioredoxin domain-containing protein 9|thioredoxin domain containing 9                                                 	             	        12 	NC_072385.2                          	                               29639276 	                             29657130 	minus       	         5 	     	
  9600 	Pongo pygmaeus 	129030876 	        0 	live   	LOC129030876 	                                  	MIT domain-containing protein 1-like                                                                 	MIT domain-containing protein 1-like                                                                                    	             	        12 	NC_072385.2                          	                               29212062 	                             29223874 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129030874 	        0 	live   	LOC129030874 	                                  	MIT domain-containing protein 1-like                                                                 	MIT domain-containing protein 1-like                                                                                    	             	        12 	NC_072385.2                          	                               28933635 	                             28945512 	minus       	         8 	     	
  9600 	Pongo pygmaeus 	129030871 	        0 	live   	LOC129030871 	                                  	DNA-binding protein RFX8-like                                                                        	DNA-binding protein RFX8-like|protein lava lamp-like|uncharacterized protein LOC129030871                               	             	        12 	NC_072385.2                          	                               29471221 	                             29574268 	minus       	        27 	     	
  9600 	Pongo pygmaeus 	129030870 	        0 	live   	LOC129030870 	                                  	DNA-binding protein RFX8-like                                                                        	DNA-binding protein RFX8-like|protein lava lamp-like|uncharacterized protein LOC129030870                               	             	        12 	NC_072385.2                          	                               29269705 	                             29372769 	plus        	        29 	     	
  9600 	Pongo pygmaeus 	129030802 	        0 	live   	LOC129030802 	                                  	thioredoxin domain-containing protein 9-like                                                         	thioredoxin domain-containing protein 9-like                                                                            	             	        12 	NC_072385.2                          	                               28915606 	                             28932879 	minus       	         5 	     	
  9600 	Pongo pygmaeus 	129030794 	        0 	live   	LOC129030794 	                                  	cytochrome c oxidase assembly factor 5                                                               	cytochrome c oxidase assembly factor 5                                                                                  	             	        12 	NC_072385.2                          	                               28222299 	                             28231497 	minus       	         3 	     	
  9600 	Pongo pygmaeus 	129030789 	        0 	live   	LOC129030789 	                                  	cytochrome b-c1 complex subunit 6, mitochondrial-like                                                	cytochrome b-c1 complex subunit 6, mitochondrial-like                                                                   	             	        12 	NC_072385.2                          	                              107945691 	                            107945985 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030775 	        0 	live   	LOC129030775 	                                  	glycerol-3-phosphate acyltransferase 2, mitochondrial-like                                           	glycerol-3-phosphate acyltransferase 2, mitochondrial-like                                                              	             	        12 	NC_072385.2                          	                               25151615 	                             25164854 	plus        	        22 	     	
  9600 	Pongo pygmaeus 	129030773 	        0 	live   	LOC129030773 	                                  	glycerol-3-phosphate acyltransferase 2, mitochondrial-like                                           	glycerol-3-phosphate acyltransferase 2, mitochondrial-like                                                              	             	        12 	NC_072385.2                          	                               25082431 	                             25095367 	plus        	        22 	     	
  9600 	Pongo pygmaeus 	129030754 	        0 	live   	LOC129030754 	                                  	small ribosomal subunit protein uS14-like                                                            	small ribosomal subunit protein uS14-like                                                                               	             	        12 	NC_072385.2                          	                               71983592 	                             71983762 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129030738 	        0 	live   	LOC129030738 	                                  	transcription elongation factor SPT4-A                                                               	LOW QUALITY PROTEIN: transcription elongation factor SPT4-A                                                             	             	        12 	NC_072385.2                          	                               57814859 	                             57815401 	plus        	         2 	     	
  9600 	Pongo pygmaeus 	129030729 	        0 	live   	LOC129030729 	                                  	gastrokine-1                                                                                         	gastrokine-1                                                                                                            	             	        12 	NC_072385.2                          	                               64555618 	                             64561937 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030691 	        0 	live   	LOC129030691 	                                  	gastrokine-3-like                                                                                    	LOW QUALITY PROTEIN: gastrokine-3-like                                                                                  	             	        12 	NC_072385.2                          	                               64609858 	                             64615431 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030675 	        0 	live   	LOC129030675 	                                  	FUN14 domain-containing protein 2-like                                                               	FUN14 domain-containing protein 2-like                                                                                  	             	        12 	NC_072385.2                          	                               49012235 	                             49018066 	minus       	         4 	     	
  9600 	Pongo pygmaeus 	129030644 	        0 	live   	LOC129030644 	                                  	regenerating islet-derived protein 3-gamma                                                           	regenerating islet-derived protein 3-gamma                                                                              	             	        12 	NC_072385.2                          	                               54412551 	                             54414825 	minus       	         5 	     	
  9600 	Pongo pygmaeus 	129030572 	        0 	live   	LOC129030572 	                                  	regenerating islet-derived protein 3-alpha                                                           	regenerating islet-derived protein 3-alpha                                                                              	             	        12 	NC_072385.2                          	                               54281306 	                             54284055 	plus        	         6 	     	
  9600 	Pongo pygmaeus 	129030503 	        0 	live   	LOC129030503 	                                  	LIM and senescent cell antigen-like-containing domain protein 1                                      	LOW QUALITY PROTEIN: LIM and senescent cell antigen-like-containing domain protein 1                                    	             	        12 	NC_072385.2                          	                               26721494 	                             26785989 	minus       	        12 	     	
  9600 	Pongo pygmaeus 	129030498 	        0 	live   	LOC129030498 	                                  	GRIP and coiled-coil domain-containing protein 2-like                                                	LOW QUALITY PROTEIN: GRIP and coiled-coil domain-containing protein 2-like                                              	             	        12 	NC_072385.2                          	                               26300479 	                             26324709 	minus       	        14 	     	
  9600 	Pongo pygmaeus 	129030496 	        0 	live   	LOC129030496 	                                  	DNA-binding protein RFX8-like                                                                        	DNA-binding protein RFX8-like|protein lava lamp-like|uncharacterized protein LOC129030496                               	             	        12 	NC_072385.2                          	                               26504165 	                             26607172 	minus       	        32 	     	
  9600 	Pongo pygmaeus 	129030474 	        0 	live   	LOC129030474 	                                  	glycerol-3-phosphate acyltransferase 2, mitochondrial-like                                           	glycerol-3-phosphate acyltransferase 2, mitochondrial-like                                                              	             	        12 	NC_072385.2                          	                               24175056 	                             24187800 	minus       	        21 	     	
  9600 	Pongo pygmaeus 	129030458 	        0 	live   	LOC129030458 	                                  	lithostathine-1-alpha                                                                                	lithostathine-1-alpha                                                                                                   	             	        12 	NC_072385.2                          	                               54323000 	                             54325941 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030260 	        0 	live   	LOC129030260 	RETSAT                            	all-trans-retinol 13,14-reductase                                                                    	all-trans-retinol 13,14-reductase|retinol saturase                                                                      	             	        12 	NC_072385.2                          	                               47910278 	                             47922974 	plus        	        11 	     	
  9600 	Pongo pygmaeus 	129030120 	        0 	live   	LOC129030120 	                                  	interferon-induced transmembrane protein 3-like                                                      	interferon-induced transmembrane protein 3-like                                                                         	             	        12 	NC_072385.2                          	                               72909871 	                             72910302 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129030041 	        0 	live   	LOC129030041 	                                  	cyclin-dependent kinase 2-associated protein 1-like                                                  	cyclin-dependent kinase 2-associated protein 1-like                                                                     	             	        12 	NC_072385.2                          	                              126724920 	                            126725336 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129030037 	        0 	live   	LOC129030037 	                                  	large ribosomal subunit protein P1-like                                                              	large ribosomal subunit protein P1-like                                                                                 	             	        12 	NC_072385.2                          	                              118114041 	                            118114358 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030033 	        0 	live   	LOC129030033 	                                  	epithelial membrane protein 2-like                                                                   	epithelial membrane protein 2-like                                                                                      	             	        12 	NC_072385.2                          	                              107801192 	                            107803155 	plus        	         3 	     	
  9600 	Pongo pygmaeus 	129030009 	        0 	live   	LOC129030009 	                                  	putative ALMS1-like protein                                                                          	putative ALMS1-like protein                                                                                             	             	        12 	NC_072385.2                          	                               59801894 	                             59839664 	minus       	         7 	     	
  9600 	Pongo pygmaeus 	129029184 	        0 	live   	LOC129029184 	                                  	axin interactor, dorsalization-associated protein-like                                               	axin interactor, dorsalization-associated protein-like                                                                  	             	        12 	NC_072385.2                          	                              122744836 	                            122746004 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129028877 	        0 	live   	LOC129028877 	                                  	GRIP and coiled-coil domain-containing protein 2-like                                                	GRIP and coiled-coil domain-containing protein 2-like                                                                   	             	        12 	NC_072385.2                          	                               31783031 	                             31819228 	minus       	        18 	     	
  9600 	Pongo pygmaeus 	129028744 	        0 	live   	LOC129028744 	                                  	DNA-binding protein RFX8-like                                                                        	DNA-binding protein RFX8-like                                                                                           	             	        12 	NC_072385.2                          	                               32262084 	                             32338937 	plus        	        16 	     	
  9600 	Pongo pygmaeus 	129026568 	        0 	live   	LOC129026568 	                                  	uncharacterized LOC129026568                                                                         	uncharacterized protein LOC129026568                                                                                    	             	        12 	NC_072385.2                          	                               45249798 	                             45266251 	plus        	         4 	     	
  9600 	Pongo pygmaeus 	129026546 	        0 	live   	LOC129026546 	IGKC, IGKV1-17, IGKV1-8, IGKV3-26 	immunoglobulin kappa light chain                                                                     	immunoglobulin kappa light chain|IGKV1-17*01|IGKV3-26*01                                                                	             	        12 	NC_072385.2                          	                               45050518 	                             45463120 	plus        	         9 	     	
  9600 	Pongo pygmaeus 	129026530 	        0 	live   	LOC129026530 	IGKV2-45                          	uncharacterized LOC129026530                                                                         	uncharacterized protein LOC129026530|IGKV2-45*01                                                                        	             	        12 	NC_072385.2                          	                               44922466 	                             44926724 	plus        	         5 	     	
  9600 	Pongo pygmaeus 	129026045 	        0 	live   	LOC129026045 	NAT8                              	N-acetyltransferase 8                                                                                	N-acetyltransferase 8|N-acetyltransferase 8 (putative)                                                                  	             	        12 	NC_072385.2                          	                               59904484 	                             59905176 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129026034 	        0 	live   	LOC129026034 	                                  	centrosome-associated protein ALMS1-like                                                             	centrosome-associated protein ALMS1-like                                                                                	             	        12 	NC_072385.2                          	                               59868371 	                             59935338 	minus       	         7 	     	
  9600 	Pongo pygmaeus 	129026018 	        0 	live   	LOC129026018 	                                  	N-acetyltransferase 8-like                                                                           	N-acetyltransferase 8-like                                                                                              	             	        12 	NC_072385.2                          	                               59838537 	                             59840081 	plus        	         2 	     	
  9600 	Pongo pygmaeus 	129025986 	        0 	live   	LOC129025986 	                                  	putative N-acetyltransferase 8B                                                                      	putative N-acetyltransferase 8B                                                                                         	             	        12 	NC_072385.2                          	                               59736467 	                             59770818 	plus        	         4 	     	
  9600 	Pongo pygmaeus 	134737885 	        0 	live   	LOC134737885 	                                  	protein FRG1-like                                                                                    	                                                                                                                        	             	        12 	NC_072385.2                          	                                 783211 	                               789005 	plus        	         0 	     	
  9600 	Pongo pygmaeus 	134737884 	        0 	live   	LOC134737884 	                                  	large ribosomal subunit protein eL21-like                                                            	                                                                                                                        	             	        12 	NC_072385.2                          	                               79552224 	                             79560476 	plus        	         0 	     	
  9600 	Pongo pygmaeus 	134737883 	        0 	live   	LOC134737883 	                                  	large ribosomal subunit protein eL21-like                                                            	                                                                                                                        	             	        12 	NC_072385.2                          	                               72732953 	                             72733450 	minus       	         0 	     	
  9600 	Pongo pygmaeus 	134737882 	        0 	live   	LOC134737882 	                                  	immunoglobulin kappa variable 1D-13-like                                                             	                                                                                                                        	             	        12 	NC_072385.2                          	                               45304023 	                             45304691 	plus        	         0 	     	
  9600 	Pongo pygmaeus 	134737881 	        0 	live   	LOC134737881 	                                  	uncharacterized LOC134737881                                                                         	                                                                                                                        	             	        12 	NC_072385.2                          	                              131289647 	                            131298529 	plus        	         4 	     	
  9600 	Pongo pygmaeus 	134737880 	        0 	live   	LOC134737880 	                                  	uncharacterized LOC134737880                                                                         	                                                                                                                        	             	        12 	NC_072385.2                          	                              127375438 	                            127378053 	plus        	         3 	     	
  9600 	Pongo pygmaeus 	134737879 	        0 	live   	LOC134737879 	                                  	uncharacterized LOC134737879                                                                         	                                                                                                                        	             	        12 	NC_072385.2                          	                              126194586 	                            126219788 	plus        	         3 	     	
  9600 	Pongo pygmaeus 	134737878 	        0 	live   	LOC134737878 	                                  	uncharacterized LOC134737878                                                                         	                                                                                                                        	             	        12 	NC_072385.2                          	                              124936837 	                            124942667 	minus       	         2 	     	
  9600 	Pongo pygmaeus 	134737876 	        0 	live   	LOC134737876 	                                  	uncharacterized LOC134737876                                                                         	                                                                                                                        	             	        12 	NC_072385.2                          	                              121024887 	                            121033624 	plus        	         3 	     	
  9600 	Pongo pygmaeus 	134737875 	        0 	live   	LOC134737875 	                                  	uncharacterized LOC134737875                                                                         	                                                                                                                        	             	        12 	NC_072385.2                          	                               90807276 	                             90813755 	plus        	         4 	     	
  9600 	Pongo pygmaeus 	134737874 	        0 	live   	LOC134737874 	                                  	uncharacterized LOC134737874                                                                         	                                                                                                                        	             	        12 	NC_072385.2                          	                               67350762 	                             67410375 	minus       	         3 	     	
